entrezid1	entrezid2
7391	79157
7391	9258
7391	1954
7391	57192
7391	84515
7391	4157
7391	4144
7391	22919
7391	7867
7391	100505881
7391	84445
7391	54585
7391	116372
7391	4066
7391	55646
7391	8425
7391	4037
7391	121227
7391	79836
7391	3990
7391	132660
7391	79727
7391	137994
7391	51056
7391	687
7391	1316
7391	9314
7391	55083
7391	90231
7391	23366
7391	10657
7391	23081
7391	55818
7391	23415
7391	151050
7391	644246
7391	284058
7391	3669
7391	10379
7391	84223
7391	79711
7391	9670
7391	9807
7391	64423
7391	3609
7391	146433
7391	3562
7391	57549
7391	3482
7391	79663
7391	3312
7391	3235
7391	3225
7391	3229
7391	3217
7391	3214
7391	3202
7391	3198
7391	100124700
7391	3185
7391	3162
7391	55502
7391	3280
7391	2969
7391	2965
7391	2824
7391	221914
7391	27333
7391	2799
7391	84656
7391	199720
7391	2729
7391	2597
7391	92579
7391	2492
7391	27086
7391	27022
7391	2332
7391	400999
7391	2867
7391	2242
7391	9873
7391	93611
7391	10922
7391	2194
7391	10447
7391	27146
7391	79607
7391	80004
7391	1981
7391	1977
7391	27335
7391	112398
7391	1938
7391	9521
7391	54808
7391	1856
7391	1849
7391	83475
7391	1777
7391	22826
7391	4189
7391	1746
7391	1739
7391	220107
7391	56616
7391	79961
7391	1654
7391	79077
7391	80067
7391	63932
7391	51596
7391	8722
7391	1509
7391	1508
7391	5476
7391	1489
7391	1488
7391	80315
7391	64506
7391	50813
7391	118881
7391	10330
7391	54805
7391	1184
7391	54921
7391	1128
7391	1050
7391	4680
7391	51265
7391	1020
7391	8763
7391	151195
7391	894
7391	595
7391	891
7391	57003
7391	200014
7391	23468
7391	842
7391	817
7391	811
7391	790
7391	138241
7391	721
7391	145741
7391	25912
7391	126526
7391	124944
7391	400591
7391	29035
7391	91408
7391	675
7391	665
7391	100528022
7391	2647
7391	57673
7391	9274
7391	54828
7391	84752
7391	4287
7391	84913
7391	64422
7391	55729
7391	83858
7391	445
7391	253982
7391	22901
7391	93436
7391	403
7391	50650
7391	9639
7391	10564
7391	362
7391	328
7391	324
7391	8905
7391	309
7391	23253
7391	272
7391	271
7391	81693
7391	9949
7391	4329
7391	84335
7391	8165
7391	205
7391	7965
7391	57085
7391	151
7391	22850
7391	109
7391	102
7391	95
7391	31
7391	10058
7391	26574
7157	64393
7157	9540
7157	8795
7157	7057
7157	6916
7157	2810
7157	83667
7157	27244
7157	5268
7157	50484
7157	5728
7157	10394
7157	64065
7157	4776
7157	4134
7157	3717
7157	3486
7157	3481
7157	3265
7157	204851
7157	3090
7157	1647
7157	355
7157	2114
7157	54541
7157	1643
7157	3732
7157	857
7157	7832
7157	317
7022	57688
7022	57169
7022	115950
7022	51042
7022	51201
7022	81603
7022	91978
7022	3842
7022	8463
7022	6903
7022	9066
7022	6613
7022	4092
7022	6498
7022	29946
7022	58506
7022	83546
7022	6051
7022	127544
7022	3516
7022	26472
7022	5451
7022	5326
7022	8396
7022	5252
7022	5151
7022	5090
7022	4641
7022	80198
7022	4212
7022	4140
7022	27257
7022	9355
7022	22992
7022	3622
7022	3205
7022	55890
7022	56834
7022	54856
7022	390637
7022	2624
7022	752
7022	9679
7022	2099
7022	2036
7022	163126
7022	27120
7022	10488
7022	6249
7022	2972
7022	663
7022	602
7022	7917
7022	467
7022	23527
7022	9625
7020	57688
7020	57169
